"lake","year","date","ZID","carbon"
"T",2022,2022-06-08,1,660
"T",2022,2022-06-29,2,826.666666666667
"T",2022,2022-06-29,4,880
"L",2022,2022-06-28,2,500
"R",2022,2022-06-27,4,520
"R",2022,2022-06-27,5,586.666666666667
"L",2022,2022-06-28,1,406.666666666667
"L",2022,2022-06-28,4,506.666666666667
"R",2022,2022-06-27,6,1480
"L",2022,2022-06-28,6,1853.33333333333
"L",2022,2022-06-28,5,706.666666666667
"T",2022,2022-06-22,5,993.333333333333
"L",2022,2022-06-28,3,406.666666666667
"R",2022,2022-06-06,1,493.333333333333
"R",2022,2022-06-27,2,520
"T",2022,2022-06-08,3,646.666666666667
"R",2022,2022-06-27,1,406.666666666667
"R",2022,2022-06-06,2,513.333333333333
"T",2022,2022-06-29,3,826.666666666667
"R",2022,2022-06-27,3,486.666666666667
"T",2022,2022-06-22,1,820
"R",2022,2022-05-30,2,660
"R",2022,2022-05-30,5,906.666666666667
"R",2022,2022-05-30,6,1580
"L",2022,2022-06-07,1,700
"R",2022,2022-06-13,2,3240
"L",2022,2022-05-31,6,2333.33333333333
"R",2022,2022-05-30,4,773.333333333333
"R",2022,2022-06-13,5,706.666666666667
"T",2022,2022-06-08,2,813.333333333333
"R",2022,2022-06-20,2,506.666666666667
"R",2022,2022-06-13,3,506.666666666667
"T",2022,2022-06-29,1,953.333333333333
"R",2022,2022-05-30,3,573.333333333333
"R",2022,2022-06-13,4,660
"R",2022,2022-06-20,6,2560
"R",2022,2022-06-20,1,526.666666666667
"T",2022,2022-06-22,2,940
"R",2022,2022-06-20,5,1053.33333333333
"T",2022,2022-06-22,4,980
"R",2022,2022-06-20,4,566.666666666667
"T",2022,2022-06-22,3,953.333333333333
"T",2022,2022-06-22,6,1166.66666666667
"L",2022,2022-05-31,5,993.333333333333
"T",2022,2022-06-29,5,906.666666666667
"T",2022,2022-06-29,6,1026.66666666667
"L",2022,2022-06-14,3,500
"L",2022,2022-06-14,6,2140
"L",2022,2022-06-07,2,526.666666666667
"L",2022,2022-05-31,2,933.333333333333
"L",2022,2022-05-31,3,833.333333333333
"R",2022,2022-06-06,5,866.666666666667
"L",2022,2022-06-14,2,440
"L",2022,2022-05-31,1,606.666666666667
"L",2022,2022-06-07,3,580
"L",2022,2022-06-14,5,793.333333333333
"L",2022,2022-06-14,1,373.333333333333
"L",2022,2022-06-14,4,580
"L",2022,2022-06-07,5,906.666666666667
"R",2022,2022-06-06,6,1133.33333333333
"R",2022,2022-06-06,3,753.333333333333
"R",2022,2022-06-06,4,553.333333333333
"L",2022,2022-06-07,6,933.333333333333
"L",2022,2022-06-21,6,1886.66666666667
"T",2022,2022-06-15,5,660
"T",2022,2022-06-15,6,940
"L",2022,2022-06-21,5,846.666666666667
"L",2022,2022-06-21,1,526.666666666667
"T",2022,2022-06-02,1,766.666666666667
"T",2022,2022-06-15,4,720
"T",2022,2022-06-02,6,860
"T",2022,2022-06-15,1,660
"T",2022,2022-06-15,3,593.333333333333
"T",2022,2022-06-08,4,940
"T",2022,2022-06-15,2,953.333333333333
"T",2022,2022-06-08,5,933.333333333333
"T",2022,2022-06-02,4,813.333333333333
"L",2022,2022-06-21,2,533.333333333333
"T",2022,2022-06-08,6,1060
"T",2022,2022-06-02,5,1066.66666666667
"L",2022,2022-06-21,4,500
"T",2022,2022-06-02,2,733.333333333333
"L",2022,2022-06-21,3,493.333333333333
"T",2022,2022-06-02,3,746.666666666667
"L",2022,2022-07-12,6,900
"T",2022,2022-07-06,4,893.333333333333
"L",2022,2022-07-12,4,613.333333333333
"R",2022,2022-07-11,1,846.666666666667
"T",2022,2022-07-06,2,460
"L",2022,2022-07-12,6,720
"T",2022,2022-07-06,1,800
"T",2022,2022-07-06,3,820
"L",2022,2022-07-12,5,613.333333333333
"R",2022,2022-07-05,6,2080
"T",2022,2022-07-06,6,800
"T",2022,2022-07-06,5,933.333333333333
"R",2022,2022-07-11,1,440
"L",2022,2022-07-12,4,573.333333333333
"L",2022,2022-07-05,5,1353.33333333333
"R",2022,2022-07-05,1,446.666666666667
"R",2022,2022-07-05,4,500
"L",2022,2022-07-05,1,513.333333333333
"R",2022,2022-07-05,3,493.333333333333
"L",2022,2022-07-05,6,1373.33333333333
"L",2022,2022-07-05,4,560
"R",2022,2022-07-05,5,913.333333333333
"L",2022,2022-07-05,2,460
"L",2022,2022-07-05,3,460
"R",2022,2022-07-05,2,546.666666666667
"T",2022,2022-07-13,2,740
"T",2022,2022-07-13,1,713.333333333333
"R",2022,2022-07-18,3,473.333333333333
"R",2022,2022-07-18,5,580
"R",2022,2022-07-18,6,2313.33333333333
"R",2022,2022-07-18,1,620
"R",2022,2022-07-18,4,586.666666666667
"T",2022,2022-07-13,3,826.666666666667
"T",2022,2022-07-13,4,853.333333333333
"T",2022,2022-07-13,5,1060
"T",2022,2022-07-13,6,1206.66666666667
"R",2022,2022-07-18,2,526.666666666667
"R",2022,2022-07-11,3,500
"R",2022,2022-07-11,3,533.333333333333
"R",2022,2022-07-11,4,573.333333333333
"L",2022,2022-07-19,6,846.666666666667
"T",2022,2022-07-20,3,820
"T",2022,2022-07-20,6,980
"T",2022,2022-07-20,1,1040
"L",2022,2022-07-19,2,706.666666666667
"L",2022,2022-07-19,4,726.666666666667
"T",2022,2022-07-20,2,880
"L",2022,2022-07-19,5,793.333333333333
"L",2022,2022-07-12,1,646.666666666667
"L",2022,2022-07-12,1,600
"R",2022,2022-07-11,5,606.666666666667
"T",2022,2022-07-20,4,873.333333333333
"L",2022,2022-07-12,2,606.666666666667
"L",2022,2022-07-12,3,640
"L",2022,2022-07-12,3,666.666666666667
"R",2022,2022-07-11,2,646.666666666667
"R",2022,2022-07-11,2,566.666666666667
"L",2022,2022-07-19,1,480
"R",2022,2022-07-11,6,980
"R",2022,2022-07-11,6,873.333333333333
"T",2022,2022-07-20,5,840
"R",2022,2022-07-25,3,440
"T",2022,2022-07-27,2,953.333333333333
"L",2022,2022-08-02,5,626.666666666667
"R",2022,2022-08-08,6,1193.33333333333
"L",2022,2022-08-08,1,660
"L",2022,2022-07-26,2,560
"T",2022,2022-07-27,1,840
"R",2022,2022-07-25,2,440
"R",2022,2022-08-01,4,486.666666666667
"R",2022,2022-08-08,5,493.333333333333
"T",2022,2022-08-07,5,920
"T",2022,2022-08-03,3,700
"L",2022,2022-08-02,4,740
"T",2022,2022-08-07,2,920
"T",2022,2022-08-03,2,760
"L",2022,2022-07-26,1,526.666666666667
"L",2022,2022-07-26,5,713.333333333333
"T",2022,2022-07-27,6,866.666666666667
"R",2022,2022-08-01,6,760
"L",2022,2022-08-08,6,2153.33333333333
"R",2022,2022-08-08,1,386.666666666667
"T",2022,2022-08-03,1,800
"L",2022,2022-08-08,2,733.333333333333
"R",2022,2022-08-08,4,460
"R",2022,2022-07-25,6,4093.33333333333
"R",2022,2022-08-08,3,420
"T",2022,2022-08-03,6,820
"L",2022,2022-08-02,3,646.666666666667
"T",2022,2022-08-07,3,873.333333333333
"R",2022,2022-07-25,1,413.333333333333
"T",2022,2022-07-27,4,933.333333333333
"R",2022,2022-07-25,4,506.666666666667
"T",2022,2022-08-07,4,800
"T",2022,2022-08-07,1,813.333333333333
"R",2022,2022-08-01,2,513.333333333333
"L",2022,2022-08-02,1,693.333333333333
"L",2022,2022-07-26,4,546.666666666667
"T",2022,2022-08-03,4,740
"L",2022,2022-08-02,6,1333.33333333333
"R",2022,2022-08-01,1,533.333333333333
"R",2022,2022-08-01,3,553.333333333333
"T",2022,2022-07-27,3,1020
"L",2022,2022-08-08,3,786.666666666667
"T",2022,2022-08-03,5,813.333333333333
"T",2022,2022-08-07,6,846.666666666667
"L",2022,2022-07-26,6,1133.33333333333
"L",2022,2022-08-02,2,760
"L",2022,2022-08-08,4,760
"L",2022,2022-08-08,5,826.666666666667
